province,city,data,AQI,type,month,day
安徽省,阜阳市,244.5220455,294.5220455,PM2.5,12,22
安徽省,亳州市,233.9452778,283.9452778,PM2.5,12,22
安徽省,阜阳市,227.4461364,277.4461364,PM2.5,11,29
安徽省,阜阳市,224.5177273,274.5177273,PM2.5,11,28
安徽省,淮北市,218.9858333,268.9858333,PM2.5,12,22
安徽省,马鞍山市,216.0376471,266.0376471,PM2.5,1,20
安徽省,宿州市,210.825814,260.825814,PM2.5,1,21
安徽省,亳州市,210.0530556,260.0530556,PM2.5,11,28
安徽省,阜阳市,207.0793182,257.0793182,PM2.5,1,16
安徽省,芜湖市,203.078,253.078,PM2.5,1,20
安徽省,亳州市,202.7416667,252.7416667,PM2.5,1,16
安徽省,宿州市,201.5876744,251.5876744,PM2.5,1,19
安徽省,淮北市,201.0683333,251.0683333,PM2.5,11,29
安徽省,亳州市,200.1308333,250.1308333,PM2.5,11,29
安徽省,宿州市,198.4253488,248.4253488,PM2.5,1,29
安徽省,宿州市,197.6451163,247.6451163,PM2.5,1,18
安徽省,淮北市,196.8991667,246.8991667,PM2.5,11,28
安徽省,宿州市,195.8337209,245.8337209,PM2.5,12,22
安徽省,阜阳市,195.4634091,245.4634091,PM2.5,11,25
安徽省,宿州市,195.1927907,245.1927907,PM2.5,1,16
安徽省,铜陵市,194.164375,244.164375,PM2.5,1,20
安徽省,淮北市,192.3133333,242.3133333,PM2.5,1,21
安徽省,淮北市,192.1825,242.1825,PM2.5,1,18
安徽省,马鞍山市,190.0823529,240.0823529,PM2.5,1,19
安徽省,宿州市,187.3332558,237.3332558,PM2.5,1,20
安徽省,蚌埠市,187.2384615,237.2384615,PM2.5,12,22
安徽省,宿州市,186.4048837,236.4048837,PM2.5,1,17
安徽省,滁州市,186.2991935,236.2991935,PM2.5,1,1
安徽省,滁州市,186.2535484,236.2535484,PM2.5,1,19
安徽省,淮北市,185.6625,235.6625,PM2.5,1,19
安徽省,阜阳市,185.2275,235.2275,PM2.5,11,30
安徽省,宿州市,184.0806977,234.0806977,PM2.5,1,22
安徽省,宿州市,183.7802326,233.7802326,PM2.5,1,1
安徽省,蚌埠市,183.5838462,233.5838462,PM2.5,1,22
安徽省,淮南市,182.3708696,232.3708696,PM2.5,12,22
安徽省,滁州市,182.3498387,232.3498387,PM2.5,11,30
安徽省,淮南市,181.7986957,231.7986957,PM2.5,11,29
安徽省,淮北市,181.5383333,231.5383333,PM2.5,1,29
安徽省,亳州市,179.0813889,229.0813889,PM2.5,1,18
安徽省,蚌埠市,178.0480769,228.0480769,PM2.5,1,21
安徽省,淮南市,177.9991304,227.9991304,PM2.5,11,30
安徽省,合肥市,177.7020755,227.7020755,PM2.5,1,20
安徽省,淮北市,177.4533333,227.4533333,PM2.5,1,22
安徽省,马鞍山市,177.3476471,227.3476471,PM2.5,1,1
安徽省,淮北市,176.4291667,226.4291667,PM2.5,1,16
安徽省,蚌埠市,175.0057692,225.0057692,PM2.5,1,29
安徽省,宿州市,174.2639535,224.2639535,PM2.5,11,28
安徽省,六安市,173.8135821,223.8135821,PM2.5,12,23
安徽省,亳州市,173.4005556,223.4005556,PM2.5,1,22
安徽省,阜阳市,173.2190909,223.2190909,PM2.5,12,1
