province,city,data,AQI,type,month,day
新疆,昆玉,1006.476667,1437.82381,PM2.5,4,6
新疆,昆玉,1065.82,1065.82,PM10,4,6
新疆,昆玉,717.4333333,1024.904762,PM2.5,4,7
新疆,喀什,657.4829032,939.2612903,PM2.5,4,6
新疆,昆玉,564.15,805.9285714,PM2.5,6,2
甘肃,嘉峪关,774.425,774.425,PM10,10,20
新疆,阿拉尔,520.8373077,744.0532967,PM2.5,4,5
新疆,昆玉,689.0633333,689.0633333,PM10,4,7
新疆,喀什,647.1555847,647.1555847,PM10,4,6
新疆,昆玉,624.36,624.36,PM10,6,2
新疆,图木舒克,489.3683333,492.9122222,PM2.5,4,6
新疆,昆玉,472.3166667,481.5444444,PM2.5,7,27
新疆,和田,447.383315,464.92221,PM2.5,4,6
新疆,昆玉,551.3733333,451.3733333,PM10,7,27
新疆,巴音郭楞,406.4652851,437.6435234,PM2.5,10,18
新疆,昆玉,396.3133333,430.8755556,PM2.5,5,22
新疆,和田,373.4542883,415.6361922,PM2.5,7,27
新疆,阿克苏,372.962415,415.3082767,PM2.5,4,5
新疆,昆玉,366.72,411.1466667,PM2.5,8,23
新疆,昆玉,354.0833333,402.7222222,PM2.5,7,12
新疆,石河子,354.025,402.6833333,PM2.5,1,11
新疆,阿拉尔,352.6173077,401.7448718,PM2.5,4,6
新疆,昆玉,499.2133333,399.0166667,PM10,5,22
河南,漯河,344.4192308,394.4192308,PM2.5,12,21
新疆,昆玉,341.52,391.52,PM2.5,6,3
甘肃,嘉峪关,492.3,390.375,PM10,10,19
新疆,昆玉,336.4333333,386.4333333,PM2.5,4,8
宁夏,银川,485.790625,382.2382813,PM10,12,2
新疆,图木舒克,332.1116667,382.1116667,PM2.5,12,2
新疆,图木舒克,485.18,381.475,PM10,4,6
河南,许昌,318.2290909,368.2290909,PM2.5,12,21
甘肃,金昌,472.4513889,365.5642361,PM10,3,15
河南,许昌,314.4254545,364.4254545,PM2.5,1,18
新疆,喀什,310.3331653,360.3331653,PM2.5,4,7
河南,郑州,307.720625,357.720625,PM2.5,1,18
甘肃,酒泉,305.6248865,355.6248865,PM2.5,10,19
新疆,阿克苏,303.3711449,353.3711449,PM2.5,4,6
甘肃,嘉峪关,460.915,351.14375,PM10,3,17
甘肃,嘉峪关,458.8233333,348.5291667,PM10,11,26
河南,开封,296.1037037,346.1037037,PM2.5,12,21
河南,开封,295.3140741,345.3140741,PM2.5,1,18
新疆,石河子,294.48,344.48,PM2.5,1,10
新疆,昆玉,293.9533333,343.9533333,PM2.5,8,24
新疆,克孜勒苏柯尔克孜,293.6323934,343.6323934,PM2.5,4,6
新疆,图木舒克,292.6666667,342.6666667,PM2.5,4,3
新疆,和田,454.1332966,342.6666208,PM10,4,6
新疆,昆玉,291.7333333,341.7333333,PM2.5,5,4
新疆,图木舒克,288.595,338.595,PM2.5,4,5
新疆,昆玉,287.86,337.86,PM2.5,5,9
河南,漯河,448.6230769,335.7788462,PM10,11,28
